date,dow,is_weekend,is_holiday,is_event,is_exam_closure,vacation,term,event_name,day_type
2025-04-01,1,0,0,0,0,春季休業,,,休業
2025-04-02,2,0,0,0,0,春季休業,,,休業
2025-04-03,3,0,0,1,0,春季休業,,入学式,活動日
2025-04-04,4,0,0,0,0,春季休業,,,休業
2025-04-05,5,1,0,0,0,春季休業,,,休業
2025-04-06,6,1,0,0,0,春季休業,,,休業
2025-04-07,0,0,0,0,0,春季休業,,,休業
2025-04-08,1,0,0,0,0,春季休業,,,休業
2025-04-09,2,0,0,0,0,,前期,,上課日
2025-04-10,3,0,0,0,0,,前期,,上課日
2025-04-11,4,0,0,0,0,,前期,,上課日
2025-04-12,5,1,0,0,0,,前期,,週末
2025-04-13,6,1,0,0,0,,前期,,週末
2025-04-14,0,0,0,0,0,,前期,,上課日
2025-04-15,1,0,0,0,0,,前期,,上課日
2025-04-16,2,0,0,0,0,,前期,,上課日
2025-04-17,3,0,0,0,0,,前期,,上課日
2025-04-18,4,0,0,0,0,,前期,,上課日
2025-04-19,5,1,0,0,0,,前期,,週末
2025-04-20,6,1,0,0,0,,前期,,週末
2025-04-21,0,0,0,0,0,,前期,,上課日
2025-04-22,1,0,0,0,0,,前期,,上課日
2025-04-23,2,0,0,0,0,,前期,,上課日
2025-04-24,3,0,0,0,0,,前期,,上課日
2025-04-25,4,0,0,0,0,,前期,,上課日
2025-04-26,5,1,0,0,0,,前期,,週末
2025-04-27,6,1,0,0,0,,前期,,週末
2025-04-28,0,0,0,0,0,,前期,,上課日
2025-04-29,1,0,1,0,0,,前期,,節假日
2025-04-30,2,0,0,0,0,,前期,,上課日
2025-05-01,3,0,0,0,0,,前期,,上課日
2025-05-02,4,0,0,0,0,,前期,,上課日
2025-05-03,5,1,1,0,0,,前期,,節假日
2025-05-04,6,1,1,0,0,,前期,,節假日
2025-05-05,0,0,1,0,0,,前期,,節假日
2025-05-06,1,0,1,0,0,,前期,,節假日
2025-05-07,2,0,0,0,0,,前期,,上課日
2025-05-08,3,0,0,0,0,,前期,,上課日
2025-05-09,4,0,0,0,0,,前期,,上課日
2025-05-10,5,1,0,0,0,,前期,,週末
2025-05-11,6,1,0,0,0,,前期,,週末
2025-05-12,0,0,0,0,0,,前期,,上課日
2025-05-13,1,0,0,0,0,,前期,,上課日
2025-05-14,2,0,0,0,0,,前期,,上課日
2025-05-15,3,0,0,0,0,,前期,,上課日
2025-05-16,4,0,0,0,0,,前期,,上課日
2025-05-17,5,1,0,0,0,,前期,,週末
2025-05-18,6,1,0,0,0,,前期,,週末
2025-05-19,0,0,0,0,0,,前期,,上課日
2025-05-20,1,0,0,0,0,,前期,,上課日
2025-05-21,2,0,0,0,0,,前期,,上課日
2025-05-22,3,0,0,0,0,,前期,,上課日
2025-05-23,4,0,0,0,0,,前期,,上課日
2025-05-24,5,1,0,0,0,,前期,,週末
2025-05-25,6,1,0,0,0,,前期,,週末
2025-05-26,0,0,0,0,0,,前期,,上課日
2025-05-27,1,0,0,0,0,,前期,,上課日
2025-05-28,2,0,0,0,0,,前期,,上課日
2025-05-29,3,0,0,0,0,,前期,,上課日
2025-05-30,4,0,0,0,0,,前期,,上課日
2025-05-31,5,1,0,0,0,,前期,,週末
2025-06-01,6,1,0,1,0,,前期,創立記念日,活動日
2025-06-02,0,0,0,0,0,,前期,,上課日
2025-06-03,1,0,0,0,0,,前期,,上課日
2025-06-04,2,0,0,0,0,,前期,,上課日
2025-06-05,3,0,0,0,0,,前期,,上課日
2025-06-06,4,0,0,0,0,,前期,,上課日
2025-06-07,5,1,0,0,0,,前期,,週末
2025-06-08,6,1,0,0,0,,前期,,週末
2025-06-09,0,0,0,0,0,,前期,,上課日
2025-06-10,1,0,0,0,0,,前期,,上課日
2025-06-11,2,0,0,0,0,,前期,,上課日
2025-06-12,3,0,0,0,0,,前期,,上課日
