variable,unit,model,MAE,RMSE,bias,r,n
temperature_2m,°C,MSM,0.7587217514124294,0.9598894268947892,-0.13838276836158192,0.9746951172086554,2832
temperature_2m,°C,GSM,1.027542372881356,1.296581228213617,-0.31405367231638426,0.9633772904405871,2832
relative_humidity_2m,%,MSM,5.758121468926554,7.299074122849244,2.8739406779661016,0.8734101280462478,2832
relative_humidity_2m,%,GSM,6.746822033898305,8.835578277782664,4.313912429378531,0.8269653352088064,2832
precipitation,mm,MSM,0.2401129943502825,1.244513382540354,-0.02443502824858757,0.33635984750194636,2832
precipitation,mm,GSM,0.2790960451977401,0.8242313659602917,0.10706214689265536,0.5284824660188867,2832
wind_speed_10m,m/s,MSM,2.669138418079096,3.352261231949509,-1.1096045197740114,0.8126572949005373,2832
wind_speed_10m,m/s,GSM,3.0823446327683617,3.884272212586153,-1.6300847457627117,0.770882417519465,2832
surface_pressure,hPa,MSM,0.3377118644067781,0.41283264279905396,0.2502824858757061,0.9984036553800045,2832
surface_pressure,hPa,GSM,0.45102401129943487,0.5817522964830272,0.36112288135593196,0.9970736181031302,2832
cloud_cover,%,MSM,27.221751412429377,36.43736402616332,-14.524717514124294,0.5942266786208082,2832
cloud_cover,%,GSM,23.54978813559322,31.294002918196128,-4.993997175141243,0.6687094762129462,2832
shortwave_radiation,W/m²,MSM,42.20162429378531,86.35177406504623,-36.04060734463277,0.9638483414615122,2832
