timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure,cloud_cover,shortwave_radiation,wbgt_approx,heat_alert_level
2025-07-06 00:00:00,27.4,81,24.0,31.5,0.0,13.5,272,1006.0,21,0.0,31.057435096800358,4
2025-07-06 01:00:00,27.2,81,23.8,31.3,0.0,13.0,272,1006.1,2,0.0,30.80942009428615,3
2025-07-06 02:00:00,27.1,83,24.0,31.4,0.0,12.2,262,1006.1,33,0.0,30.96691832306779,3
2025-07-06 03:00:00,26.9,86,24.3,31.5,0.0,11.7,259,1006.1,59,0.0,31.13425244220448,4
2025-07-06 04:00:00,26.6,89,24.5,31.2,0.0,12.3,262,1005.8,59,0.0,31.165005258067534,4
2025-07-06 05:00:00,26.5,89,24.6,31.1,0.0,13.0,264,1005.8,39,0.0,31.037129086453174,4
2025-07-06 06:00:00,26.5,89,24.5,31.1,0.0,12.7,263,1006.1,94,22.0,31.037129086453174,4
2025-07-06 07:00:00,27.1,85,24.4,31.4,0.1,14.0,263,1006.3,99,137.0,31.247911535671836,4
2025-07-06 08:00:00,27.9,80,24.0,31.7,0.1,15.7,270,1006.2,69,317.0,31.53630804793946,4
2025-07-06 09:00:00,28.7,73,23.4,31.7,0.4,18.5,276,1006.2,58,484.0,31.469965657001037,4
2025-07-06 10:00:00,30.0,66,23.0,33.1,0.0,20.1,280,1006.1,100,656.0,31.918443933021965,4
2025-07-06 11:00:00,30.6,63,22.9,33.9,0.0,22.0,281,1006.1,100,774.0,32.12534765647515,4
2025-07-06 12:00:00,30.6,64,23.0,33.9,0.0,23.3,287,1006.0,100,803.0,32.29733412721285,4
2025-07-06 13:00:00,30.6,63,22.9,33.7,0.0,24.2,288,1005.5,100,801.0,32.12534765647515,4
2025-07-06 14:00:00,30.1,65,22.9,33.1,0.0,23.3,292,1004.8,100,734.0,31.870988137477216,4
2025-07-06 15:00:00,30.3,63,22.5,33.1,0.0,22.1,293,1004.2,100,734.0,31.771251683763897,4
2025-07-06 16:00:00,29.9,66,22.9,32.5,0.0,20.6,294,1003.6,100,590.0,31.799069804148022,4
2025-07-06 17:00:00,29.5,70,23.4,32.3,0.0,19.8,300,1003.4,100,445.0,31.97062706163492,4
2025-07-06 18:00:00,28.8,74,23.6,32.0,0.0,18.1,305,1003.6,100,266.0,31.747044960451024,4
2025-07-06 19:00:00,28.0,77,23.6,31.2,0.0,18.3,307,1004.1,100,101.0,31.217500679739484,4
2025-07-06 20:00:00,27.4,81,23.8,30.7,0.0,18.4,301,1004.6,99,7.0,31.057435096800358,4
2025-07-06 21:00:00,27.1,82,23.7,30.4,0.0,18.2,293,1005.3,100,0.0,30.82642171676577,3
2025-07-06 22:00:00,27.1,83,24.0,30.8,0.0,16.9,294,1005.4,97,0.0,30.96691832306779,3
2025-07-06 23:00:00,26.9,87,24.6,30.9,0.0,17.3,287,1005.4,100,0.0,31.273112354323136,4
2025-07-07 00:00:00,26.7,91,25.0,31.2,0.0,15.9,282,1005.6,100,0.0,31.56772648173212,4
