date,max_load_pred,max_load_actual,n_high_or_critical,n_critical,max_ccri,sdr_call_issued
2025-09-18,1242.85,1259.0,0,0,0.64,False
2025-09-19,1224.69,1189.0,0,0,0.6,False
2025-09-20,700.16,613.0,0,0,0.3,False
2025-09-21,536.3,458.0,0,0,0.23,False
2025-10-01,1286.35,1258.0,2,0,0.69,True
2025-10-02,1260.65,1171.0,1,0,0.65,True
2025-10-03,1124.19,1087.0,0,0,0.47,False
2025-10-04,797.39,747.0,0,0,0.34,False
2025-10-05,781.13,742.0,0,0,0.33,False
2025-10-06,1298.3,1335.0,3,0,0.73,True
2025-10-07,1295.25,1318.0,3,0,0.72,True
2025-10-08,1347.21,1451.0,3,0,0.71,True
2025-10-09,1264.44,1286.0,4,0,0.72,True
2025-10-10,1260.53,1201.0,2,0,0.68,True
2025-10-11,823.35,795.0,0,0,0.35,False
2025-10-12,902.77,886.0,0,0,0.38,False
2025-10-13,865.58,875.0,0,0,0.37,False
2025-10-14,1361.38,1376.0,5,0,0.73,True
2025-10-15,1335.08,1382.0,3,0,0.73,True
2025-10-16,1232.23,1297.0,2,0,0.72,True
2025-10-17,1280.24,1267.0,2,0,0.68,True
2025-10-18,822.49,769.0,0,0,0.35,False
2025-10-19,697.86,626.0,0,0,0.29,False
2025-10-20,1234.53,1147.0,0,0,0.62,False
2025-10-21,1037.78,1052.0,0,0,0.44,False
2025-10-22,931.68,955.0,0,0,0.39,False
2025-10-23,975.25,984.0,0,0,0.41,False
2025-10-24,1011.83,1024.0,0,0,0.43,False
2025-10-25,789.34,726.0,0,0,0.33,False
2025-10-26,652.33,577.0,0,0,0.28,False
